Espece;Int;Pente;Seuil50;Seuil90;Seuil95;Seuil99;FN50;FN90;FN95;FN99;FP50;FP90;FP95;FP99;Nvalid
amph;-7.09534246115302;39.0463129921877;0.182;0.238;0.258;0.3;1;1;1;1;1;999;999;999;18
Antsp;-6.80069882463859;37.772249245351;0.181;0.239;0.258;0.302;0.872340425531915;0.936170212765957;0.957446808510638;0.978723404255319;0.5;0.25;0.333333333333333;0;47
Barbar;-6.36492436291072;14.5940402020128;0.437;0.587;0.638;0.751;0.165938864628821;0.231441048034935;0.248908296943231;0.375545851528384;0.0637254901960784;0.0382513661202186;0.0282485875706215;0.0272108843537415;229
Barfis;-6.81610142184393;31.6495691816252;0.216;0.285;0.309;0.361;0.764705882352941;0.852941176470588;0.852941176470588;0.882352941176471;0.384615384615385;0.285714285714286;0.285714285714286;0.2;34
cigale;-8.49736298841211;71.1715058999542;0.12;0.151;0.161;0.184;0.538461538461538;0.538461538461538;0.538461538461538;0.538461538461538;0.25;0.142857142857143;0.142857142857143;0.142857142857143;13
Confus;-6.75595504253904;15.489413414516;0.437;0.579;0.627;0.733;0.5;0.716216216216216;0.837837837837838;0.959459459459459;0.26;0.0869565217391304;0.0769230769230769;0.25;74
Cympud;-7.45711418686825;21.8834817331556;0.341;0.442;0.476;0.551;0.333333333333333;0.433333333333333;0.466666666666667;0.666666666666667;0.130434782608696;0.105263157894737;0.111111111111111;0.0909090909090909;30
Cyrscu;-6.2086383302774;41.0904633122312;0.152;0.205;0.223;0.263;0.661290322580645;0.725806451612903;0.725806451612903;0.741935483870968;0.275862068965517;0.15;0.15;0.111111111111111;62
Decalb;-6.45250414962168;20.1392398204665;0.321;0.43;0.467;0.549;0.595238095238095;0.642857142857143;0.642857142857143;0.666666666666667;0.105263157894737;0.117647058823529;0.0625;0.0666666666666667;42
Epheph;-5.54508127417562;14.0682538603775;0.395;0.551;0.604;0.721;0.532374100719424;0.748201438848921;0.798561151079137;0.913669064748201;0.252873563218391;0.166666666666667;0.151515151515152;0.142857142857143;139
Eptnil;-7.62527610472595;45.5085404277947;0.168;0.216;0.233;0.269;0.91304347826087;0.956521739130435;0.956521739130435;1;0.5;0.5;0;999;23
Eptser;-5.07274265713317;11.4295974786623;0.444;0.637;0.702;0.846;0.29811320754717;0.6;0.715094339622641;0.937735849056604;0.203426124197002;0.101694915254237;0.05625;0;530
Eupsp;-6.26561984339091;55.2610932107827;0.114;0.154;0.167;0.197;0.807017543859649;0.824561403508772;0.824561403508772;0.824561403508772;0.3125;0.166666666666667;0.0909090909090909;0;57
gril;-7.00372392596924;70.9929346808205;0.099;0.13;0.141;0.164;0.8;0.8;0.8;0.8;0;0;0;0;20
Hypsav;-5.54724459611017;10.5395422481487;0.527;0.735;0.806;0.963;0.321428571428571;0.543650793650794;0.666666666666667;1;0.18957345971564;0.0495867768595041;0.0117647058823529;999;252
Inssp7;-7.77279373540012;46.1008237642253;0.169;0.217;0.233;0.269;1;1;1;1;1;999;999;999;8
Isopyr;-6.5439584839655;27.7853693775692;0.236;0.315;0.342;0.401;0.610169491525424;0.779661016949153;0.779661016949153;0.847457627118644;0.303030303030303;0.235294117647059;0.1875;0.181818181818182;59
Lamsp.;-8.16122649210054;15.0663131222065;0.542;0.688;0.738;0.847;0.189189189189189;0.405405405405405;0.540540540540541;0.891891891891892;0.142857142857143;0.0434782608695652;0;0;37
Leppun;-4.76347790240193;10.0486770548674;0.475;0.693;0.768;0.932;0.20627261761158;0.324487334137515;0.428226779252111;0.945717732207479;0.0986301369863014;0.0819672131147541;0.068762278978389;0.0217391304347826;829
Metbra;-6.84750485874608;30.8638240500619;0.222;0.294;0.318;0.371;1;1;1;1;1;1;999;999;34
Micagr;-6.59644042665171;17.2295781556;0.383;0.511;0.554;0.65;0.6875;0.6875;0.75;0.8125;0.285714285714286;0.230769230769231;0.272727272727273;0.25;32
Mimasp;-6.41282365864898;15.4732420328094;0.415;0.557;0.605;0.712;0.714285714285714;0.755102040816326;0.795918367346939;0.897959183673469;0.3;0.142857142857143;0.166666666666667;0;49
Minsch;-6.46739560885319;11.6328438697441;0.556;0.745;0.81;0.951;0.262376237623762;0.386138613861386;0.5;0.99009900990099;0.181318681318681;0.0606060606060606;0.0288461538461538;0;202
Mussp;-6.88224663059866;25.1247095943263;0.274;0.362;0.392;0.457;0.404255319148936;0.659574468085106;0.723404255319149;0.851063829787234;0.222222222222222;0.157894736842105;0.0714285714285714;0;47
Myoalc;-6.76327187488479;26.2741607738694;0.258;0.342;0.37;0.433;0.648148148148148;0.925925925925926;1;1;0.40625;0.428571428571429;1;999;54
Myobec;-6.50322343496874;31.9567950458258;0.204;0.273;0.296;0.348;0.743589743589744;0.743589743589744;0.743589743589744;0.743589743589744;0.230769230769231;0.0909090909090909;0.0909090909090909;0.0909090909090909;39
Myocap;-6.66260134297472;19.6334836434624;0.34;0.452;0.49;0.574;0.577319587628866;0.793814432989691;0.88659793814433;0.979381443298969;0.305084745762712;0.230769230769231;0.266666666666667;0;97
Myodau;-5.42614111355179;13.9478492336021;0.39;0.547;0.601;0.719;0.431192660550459;0.700305810397553;0.770642201834862;0.926605504587156;0.225;0.155172413793103;0.107142857142857;0.04;327
Myoema;-5.55572357210673;13.1599064295736;0.423;0.59;0.646;0.772;0.457142857142857;0.676190476190476;0.776190476190476;0.919047619047619;0.245033112582781;0.180722891566265;0.175438596491228;0.105263157894737;210
MyoGT;-6.28261946389941;16.1441101804526;0.39;0.526;0.572;0.674;0.452631578947368;0.6;0.673684210526316;0.789473684210526;0.2;0.0952380952380952;0.0606060606060606;0;95
Myomys;-5.44736508127698;14.7869555585573;0.369;0.517;0.568;0.68;0.493377483443709;0.71523178807947;0.788079470198676;0.894039735099338;0.264423076923077;0.156862745098039;0.135135135135135;0.0588235294117647;302
Myonat;-5.88513270653162;14.6073587018166;0.403;0.554;0.605;0.718;0.291079812206573;0.338028169014085;0.380281690140845;0.483568075117371;0.111764705882353;0.0472972972972973;0.0294117647058824;0;213
noise;-3.81779769914114;11.463207603619;0.334;0.525;0.59;0.734;0.256855575868373;0.539305301645338;0.654021937842779;0.893510054844607;0.143308746048472;0.0777676120768527;0.0584577114427861;0.0291666666666667;2188
Nyclas;-7.9541841361216;25.8822986111047;0.308;0.393;0.422;0.485;0.333333333333333;0.428571428571429;0.476190476190476;0.476190476190476;0.176470588235294;0.0769230769230769;0.0833333333333333;0.0833333333333333;21
Nyclei;-5.14032205105657;12.0733773442168;0.426;0.608;0.67;0.807;0.272930648769575;0.36241610738255;0.416107382550336;0.601789709172259;0.104683195592287;0.053156146179402;0.0474452554744526;0.0111111111111111;447
Nycnoc;-6.74534284605242;13.8032974297135;0.489;0.648;0.702;0.822;0.192982456140351;0.315789473684211;0.391812865497076;0.713450292397661;0.115384615384615;0.0564516129032258;0.0545454545454545;0;171
Phafal;-8.0331163210471;28.0947866087959;0.286;0.365;0.391;0.45;0.583333333333333;0.583333333333333;0.583333333333333;0.666666666666667;0.285714285714286;0.285714285714286;0.285714285714286;0;12
Phanan;-5.17071319401461;11.1572542912996;0.464;0.661;0.728;0.876;0.30952380952381;0.510582010582011;0.600529100529101;0.904761904761905;0.147058823529412;0.106280193236715;0.0736196319018405;0.027027027027027;378
Phofem;-6.02765059652296;12.4328428182004;0.485;0.662;0.722;0.855;0.588235294117647;0.602941176470588;0.617647058823529;1;0.125;0.0357142857142857;0.037037037037037;1;68
Phogri;-4.83240552371153;13.4873988530848;0.359;0.522;0.577;0.699;0.38430583501006;0.503018108651911;0.533199195171026;0.686116700201207;0.125714285714286;0.0679245283018868;0.0607287449392713;0.0487804878048781;497
piaf;-5.56780926223679;12.4055356376515;0.449;0.626;0.687;0.82;0.38785046728972;0.467289719626168;0.514018691588785;0.710280373831776;0.149350649350649;0.0731707317073171;0.0630630630630631;0.03125;214
Pipkuh;-4.5955134654701;11.1268276435343;0.414;0.611;0.678;0.826;0.292481977342945;0.464469618949537;0.557157569515963;0.84140061791967;0.130379746835443;0.086115992970123;0.0692640692640693;0.0191082802547771;971
Pipnat;-5.56869106645587;9.30374115515476;0.599;0.835;0.916;Inf;0.365781710914454;0.811209439528024;0.976401179941003;1;0.263698630136986;0.0985915492957746;0.111111111111111;999;339
Pippip;-4.42603304759418;9.91946402824276;0.447;0.668;0.744;0.91;0.184604419101924;0.333570919458304;0.446899501069138;0.893086243763364;0.0977917981072555;0.0621865596790371;0.0490196078431373;0.0445859872611465;1403
Pippyg;-5.82475701467405;10.5061602579601;0.555;0.764;0.835;0.992;0.180722891566265;0.31566265060241;0.443373493975904;1;0.0957446808510638;0.0596026490066225;0.04149377593361;999;415
Plaaff;-6.62096534200803;15.7826514685025;0.42;0.559;0.607;0.711;0.684210526315789;0.815789473684211;0.868421052631579;0.921052631578947;0.368421052631579;0.3;0.285714285714286;0;38
Plaalb;-5.56690740519176;12.8360391143391;0.434;0.605;0.664;0.792;0.5;0.759036144578313;0.873493975903614;1;0.28448275862069;0.2;0.192307692307692;999;166
Plafal;-8.89056279004102;99.4448220776602;0.09;0.112;0.12;0.136;0.5;0.5;0.5;0.5;0;0;0;0;6
Plaint;-5.59404773890105;11.6492807815779;0.481;0.669;0.733;0.875;0.57051282051282;0.782051282051282;0.891025641025641;1;0.33;0.306122448979592;0.260869565217391;999;156
Plasab;-7.15153722855371;21.5769835764457;0.332;0.434;0.468;0.545;0.944444444444444;0.944444444444444;1;1;0.75;0;999;999;18
Pleaur;-5.91839790891623;16.3828904284329;0.362;0.496;0.541;0.642;0.712765957446808;0.819148936170213;0.851063829787234;0.872340425531915;0.386363636363636;0.260869565217391;0.3;0.25;94
Pleaus;-6.04333449881416;12.621581351237;0.479;0.653;0.713;0.843;0.294117647058824;0.497737556561086;0.592760180995475;0.891402714932127;0.191709844559585;0.0672268907563025;0.0721649484536082;0.04;221
Plemac;-7.83776933997675;52.7633797072795;0.149;0.191;0.205;0.236;0.714285714285714;0.964285714285714;0.964285714285714;0.964285714285714;0.466666666666667;0;0;0;28
Ratnor;-8.59979517577747;86.9354850448887;0.099;0.125;0.133;0.152;0.555555555555556;0.666666666666667;0.666666666666667;0.666666666666667;0.2;0;0;0;9
Rhasp;-6.53734019787427;27.985691520666;0.234;0.313;0.339;0.398;0.493827160493827;0.592592592592593;0.62962962962963;0.703703703703704;0.163265306122449;0.131578947368421;0.117647058823529;0.111111111111111;81
Rhieur;-10.859768022429;18.6503139469122;0.583;0.701;0.741;0.829;0.05;0.4;0.55;0.85;0.0952380952380952;0.142857142857143;0.1;0;20
Rhifer;-8.00743169322353;18.3644571817366;0.437;0.556;0.597;0.687;0.0408163265306122;0.0476190476190476;0.0476190476190476;0.0476190476190476;0.013986013986014;0;0;0;147
Rhihip;-7.37072102800697;12.8819740203109;0.573;0.743;0.801;0.929;0.085427135678392;0.135678391959799;0.195979899497487;0.542713567839196;0.0761421319796954;0.0114942528735632;0;0;199
Roeroe;-6.93838623703245;15.5527822929167;0.447;0.588;0.636;0.742;0.351351351351351;0.513513513513513;0.581081081081081;0.837837837837838;0.213114754098361;0.142857142857143;0.114285714285714;0;74
Rusnit;-5.40064675385347;12.5196906824734;0.432;0.607;0.667;0.799;0.265873015873016;0.293650793650794;0.341269841269841;0.472222222222222;0.0463917525773196;0.0273224043715847;0.0235294117647059;0.0148148148148148;252
Sepsep;-6.55981395031833;31.173031428993;0.211;0.281;0.305;0.358;0.878787878787879;0.909090909090909;0.939393939393939;0.939393939393939;0.428571428571429;0.25;0.333333333333333;0;33
Tadten;-6.38312343721415;14.9865800574067;0.426;0.573;0.623;0.733;0.256756756756757;0.385135135135135;0.391891891891892;0.567567567567568;0.105691056910569;0.0520833333333333;0.0425531914893617;0.0303030303030303;148
Testes;-5.82528914196683;11.1655227734239;0.522;0.719;0.786;0.934;0.32258064516129;0.599078341013825;0.723502304147465;1;0.205405405405405;0.138613861386139;0.104477611940299;1;217
Tetvir;-4.29997608254861;9.3979850269086;0.458;0.692;0.771;0.947;0.280718336483932;0.499054820415879;0.635160680529301;0.967863894139887;0.140112994350282;0.0718038528896672;0.0676328502415459;0.0285714285714286;1058
Tyllil;-6.61337770734382;23.9825714183115;0.276;0.368;0.399;0.468;0.513513513513513;0.567567567567568;0.567567567567568;0.594594594594595;0.142857142857143;0.0588235294117647;0.0588235294117647;0.0625;37
Urosp;-6.25673627257683;16.0507344272109;0.39;0.527;0.574;0.677;0.455696202531646;0.481012658227848;0.518987341772152;0.607594936708861;0.156862745098039;0.0238095238095238;0.0256410256410256;0;79
Yerray;-6.12677554878548;15.5100267760864;0.396;0.537;0.585;0.692;0.331034482758621;0.393103448275862;0.420689655172414;0.482758620689655;0.101851851851852;0.0736842105263158;0.0561797752808989;0.0506329113924051;145